source	Destination	Price	total cost
Los Angeles, CA	San Antonio, TX	1506	
Los Angeles, CA	Denver, CO	1394	
Los Angeles, CA	El Paso, TX	820	
Los Angeles, CA	Albuquerque, NM	810	
Los Angeles, CA	Tucson, AZ	568	
Los Angeles, CA	San Francisco, CA	471	
Los Angeles, CA	Phoenix, AZ	469	
Los Angeles, CA	Las Vegas, NV	445	
Los Angeles, CA	San Jose, CA	434	
Los Angeles, CA	Fresno, CA	282	
Los Angeles, CA	San Diego, CA	181	53192
Las Vegas, NV	Boston, MA	1485	
Las Vegas, NV	Washington, DC	1484	
Las Vegas, NV	Baltimore, MD	1472	
Las Vegas, NV	New York, NY	1459	
Las Vegas, NV	Philadelphia, PA	1443	
Las Vegas, NV	Detroit, MI	1429	
Las Vegas, NV	Charlotte, NC	1380	
Las Vegas, NV	Indianapolis, IN	1347	
Las Vegas, NV	Milwaukee, WI	1323	
Las Vegas, NV	Chicago, IL	1304	
Las Vegas, NV	Columbus, OH	1295	
Las Vegas, NV	Jacksonville, FL	1287	
Las Vegas, NV	Louisville, KY	1230	
Las Vegas, NV	Nashville, TN	1206	
Las Vegas, NV	Memphis, TN	1109	
Las Vegas, NV	Oklahoma City, OK	1002	
Las Vegas, NV	Houston, TX	984	
Las Vegas, NV	Seattle, WA	979	
Las Vegas, NV	Austin, TX	968	
Las Vegas, NV	San Antonio, TX	943	
Las Vegas, NV	Portland, OR	923	
Las Vegas, NV	Dallas, TX	867	
Las Vegas, NV	Fort Worth, TX	855	
Las Vegas, NV	Denver, CO	760	
Las Vegas, NV	El Paso, TX	649	
Las Vegas, NV	Albuquerque, NM	556	
Las Vegas, NV	Tucson, AZ	314	
Las Vegas, NV	Fresno, CA	277	
Las Vegas, NV	Phoenix, AZ	245	
Las Vegas, NV	San Francisco, CA	198	
Las Vegas, NV	San Jose, CA	189	
Las Vegas, NV	San Diego, CA	183	
Las Vegas, NV	Los Angeles, CA	155	31300
Jacksonville, FL	Portland, OR	2811	
Jacksonville, FL	Seattle, WA	2781	
Jacksonville, FL	Las Vegas, NV	2252	
Jacksonville, FL	Denver, CO	2181	
Jacksonville, FL	Phoenix, AZ	2141	
Jacksonville, FL	Tucson, AZ	2067	
Jacksonville, FL	Albuquerque, NM	1971	
Jacksonville, FL	El Paso, TX	1879	
Jacksonville, FL	San Francisco, CA	1518	
Jacksonville, FL	San Jose, CA	1502	
Jacksonville, FL	San Antonio, TX	1490	
Jacksonville, FL	Austin, TX	1461	
Jacksonville, FL	Fresno, CA	1453	
Jacksonville, FL	Los Angeles, CA	978	
Jacksonville, FL	San Diego, CA	957	
Jacksonville, FL	Milwaukee, WI	918	
Jacksonville, FL	Chicago, IL	804	
Jacksonville, FL	Fort Worth, TX	692	
Jacksonville, FL	Dallas, TX	680	
Jacksonville, FL	Oklahoma City, OK	614	
Jacksonville, FL	Columbus, OH	606	
Jacksonville, FL	Memphis, TN	596	
Jacksonville, FL	Nashville, TN	591	
Jacksonville, FL	Indianapolis, IN	565	
Jacksonville, FL	Louisville, KY	562	
Jacksonville, FL	Houston, TX	560	
Jacksonville, FL	Detroit, MI	544	
Jacksonville, FL	Boston, MA	542	
Jacksonville, FL	Philadelphia, PA	455	
Jacksonville, FL	Baltimore, MD	418	
Jacksonville, FL	New York, NY	400	
Jacksonville, FL	Washington, DC	399	
Jacksonville, FL	Charlotte, NC	321	37709
Indianapolis, IN	Portland, OR	1687	
Indianapolis, IN	Seattle, WA	1663	
Indianapolis, IN	San Francisco, CA	1334	
Indianapolis, IN	San Jose, CA	1331	
Indianapolis, IN	El Paso, TX	1313	
Indianapolis, IN	Las Vegas, NV	1304	
Indianapolis, IN	Tucson, AZ	1287	
Indianapolis, IN	Fresno, CA	1285	
Indianapolis, IN	Phoenix, AZ	1269	
Indianapolis, IN	San Diego, CA	1246	
Indianapolis, IN	Los Angeles, CA	1236	
Indianapolis, IN	Albuquerque, NM	1161	
Indianapolis, IN	Denver, CO	1045	
Indianapolis, IN	San Antonio, TX	1005	
Indianapolis, IN	Jacksonville, FL	975	
Indianapolis, IN	Austin, TX	964	
Indianapolis, IN	Houston, TX	920	
Indianapolis, IN	Fort Worth, TX	876	
Indianapolis, IN	Dallas, TX	859	
Indianapolis, IN	Boston, MA	779	
Indianapolis, IN	Charlotte, NC	771	
Indianapolis, IN	Oklahoma City, OK	735	
Indianapolis, IN	Philadelphia, PA	498	
Indianapolis, IN	New York, NY	490	
Indianapolis, IN	Baltimore, MD	473	
Indianapolis, IN	Washington, DC	470	
Indianapolis, IN	Memphis, TN	402	
Indianapolis, IN	Nashville, TN	326	
Indianapolis, IN	Milwaukee, WI	304	
Indianapolis, IN	Detroit, MI	268	
Indianapolis, IN	Chicago, IL	220	
Indianapolis, IN	Columbus, OH	210	
Indianapolis, IN	Louisville, KY	127	28833
Houston, TX	Portland, OR	1348	
Houston, TX	Seattle, WA	1189	
Houston, TX	San Francisco, CA	897	
Houston, TX	San Jose, CA	885	
Houston, TX	Las Vegas, NV	864	
Houston, TX	Detroit, MI	849	
Houston, TX	Fresno, CA	848	
Houston, TX	Charlotte, NC	791	
Houston, TX	Boston, MA	787	
Houston, TX	Denver, CO	785	
Houston, TX	Columbus, OH	783	
Houston, TX	Washington, DC	768	
Houston, TX	Baltimore, MD	766	
Houston, TX	Phoenix, AZ	745	
Houston, TX	Los Angeles, CA	738	
Houston, TX	San Diego, CA	711	
Houston, TX	Louisville, KY	701	
Houston, TX	Tucson, AZ	701	
Houston, TX	Albuquerque, NM	700	
Houston, TX	Indianapolis, IN	698	
Houston, TX	Philadelphia, PA	657	
Houston, TX	El Paso, TX	644	
Houston, TX	Nashville, TN	631	
Houston, TX	New York, NY	566	
Houston, TX	Milwaukee, WI	517	
Houston, TX	Chicago, IL	493	
Houston, TX	Jacksonville, FL	489	
Houston, TX	Memphis, TN	480	
Houston, TX	Oklahoma City, OK	259	
Houston, TX	Dallas, TX	211	
Houston, TX	Fort Worth, TX	184	
Houston, TX	San Antonio, TX	174	
Houston, TX	Austin, TX	154	22013
Fresno, CA	Boston, MA	1773	
Fresno, CA	New York, NY	1673	
Fresno, CA	Seattle, WA	1658	
Fresno, CA	Philadelphia, PA	1646	
Fresno, CA	Charlotte, NC	1626	
Fresno, CA	Washington, DC	1626	
Fresno, CA	Baltimore, MD	1626	
Fresno, CA	Houston, TX	1592	
Fresno, CA	Detroit, MI	1560	
Fresno, CA	Jacksonville, FL	1557	
Fresno, CA	Portland, OR	1544	
Fresno, CA	Austin, TX	1518	
Fresno, CA	San Antonio, TX	1472	
Fresno, CA	Indianapolis, IN	1469	
Fresno, CA	Dallas, TX	1462	
Fresno, CA	Columbus, OH	1448	
Fresno, CA	Fort Worth, TX	1448	
Fresno, CA	Louisville, KY	1380	
Fresno, CA	Milwaukee, WI	1368	
Fresno, CA	Chicago, IL	1350	
Fresno, CA	Nashville, TN	1347	
Fresno, CA	Denver, CO	1343	
Fresno, CA	Memphis, TN	1259	
Fresno, CA	Oklahoma City, OK	1046	
Fresno, CA	El Paso, TX	948	
Fresno, CA	Albuquerque, NM	890	
Fresno, CA	Phoenix, AZ	728	
Fresno, CA	Tucson, AZ	616	
Fresno, CA	Las Vegas, NV	432	
Fresno, CA	San Diego, CA	257	
Fresno, CA	Los Angeles, CA	182	
Fresno, CA	San Francisco, CA	159	
Fresno, CA	San Jose, CA	141	40144
Fort Worth, TX	Seattle, WA	1420	
Fort Worth, TX	Portland, OR	1330	
Fort Worth, TX	Las Vegas, NV	921	
Fort Worth, TX	Boston, MA	811	
Fort Worth, TX	San Francisco, CA	765	
Fort Worth, TX	San Jose, CA	753	
Fort Worth, TX	Jacksonville, FL	750	
Fort Worth, TX	Washington, DC	750	
Fort Worth, TX	Philadelphia, PA	749	
Fort Worth, TX	Baltimore, MD	748	
Fort Worth, TX	Phoenix, AZ	731	
Fort Worth, TX	Fresno, CA	710	
Fort Worth, TX	Los Angeles, CA	685	
Fort Worth, TX	Tucson, AZ	684	
Fort Worth, TX	San Diego, CA	660	
Fort Worth, TX	Charlotte, NC	628	
Fort Worth, TX	Denver, CO	605	
Fort Worth, TX	New York, NY	591	
Fort Worth, TX	Columbus, OH	581	
Fort Worth, TX	Chicago, IL	548	
Fort Worth, TX	Detroit, MI	538	
Fort Worth, TX	Louisville, KY	509	
Fort Worth, TX	Milwaukee, WI	457	
Fort Worth, TX	Indianapolis, IN	451	
Fort Worth, TX	Nashville, TN	438	
Fort Worth, TX	Albuquerque, NM	407	
Fort Worth, TX	El Paso, TX	398	
Fort Worth, TX	Memphis, TN	344	
Fort Worth, TX	Houston, TX	259	
Fort Worth, TX	San Antonio, TX	209	
Fort Worth, TX	Austin, TX	202	
Fort Worth, TX	Oklahoma City, OK	167	
Fort Worth, TX	Dallas, TX	91	19890
El Paso, TX	Seattle, WA	1400	
El Paso, TX	Portland, OR	1359	
El Paso, TX	Boston, MA	1319	
El Paso, TX	New York, NY	1236	
El Paso, TX	Charlotte, NC	1225	
El Paso, TX	Philadelphia, PA	1205	
El Paso, TX	Detroit, MI	1193	
El Paso, TX	Baltimore, MD	1167	
El Paso, TX	Washington, DC	1155	
El Paso, TX	Milwaukee, WI	1095	
El Paso, TX	Indianapolis, IN	1058	
El Paso, TX	Jacksonville, FL	1015	
El Paso, TX	Chicago, IL	991	
El Paso, TX	Denver, CO	935	
El Paso, TX	Houston, TX	828	
El Paso, TX	San Francisco, CA	823	
El Paso, TX	San Jose, CA	806	
El Paso, TX	Dallas, TX	802	
El Paso, TX	Fort Worth, TX	775	
El Paso, TX	Austin, TX	773	
El Paso, TX	Columbus, OH	773	
El Paso, TX	Louisville, KY	707	
El Paso, TX	Las Vegas, NV	674	
El Paso, TX	San Diego, CA	652	
El Paso, TX	Nashville, TN	652	
El Paso, TX	Los Angeles, CA	651	
El Paso, TX	San Antonio, TX	619	
El Paso, TX	Fresno, CA	613	
El Paso, TX	Phoenix, AZ	602	
El Paso, TX	Oklahoma City, OK	599	
El Paso, TX	Memphis, TN	583	
El Paso, TX	Tucson, AZ	479	
El Paso, TX	Albuquerque, NM	269	29033
Detroit, MI	Portland, OR	1744	
Detroit, MI	Seattle, WA	1699	
Detroit, MI	El Paso, TX	1480	
Detroit, MI	Tucson, AZ	1421	
Detroit, MI	Phoenix, AZ	1403	
Detroit, MI	Las Vegas, NV	1384	
Detroit, MI	San Francisco, CA	1379	
Detroit, MI	San Jose, CA	1376	
Detroit, MI	Fresno, CA	1365	
Detroit, MI	San Diego, CA	1343	
Detroit, MI	Albuquerque, NM	1340	
Detroit, MI	Los Angeles, CA	1316	
Detroit, MI	Denver, CO	1151	
Detroit, MI	San Antonio, TX	1099	
Detroit, MI	Jacksonville, FL	1089	
Detroit, MI	Austin, TX	1061	
Detroit, MI	Houston, TX	1054	
Detroit, MI	Fort Worth, TX	981	
Detroit, MI	Dallas, TX	963	
Detroit, MI	Oklahoma City, OK	853	
Detroit, MI	Charlotte, NC	698	
Detroit, MI	Boston, MA	626	
Detroit, MI	Memphis, TN	554	
Detroit, MI	Nashville, TN	480	
Detroit, MI	Philadelphia, PA	450	
Detroit, MI	Baltimore, MD	421	
Detroit, MI	Washington, DC	419	
Detroit, MI	New York, NY	405	
Detroit, MI	Louisville, KY	365	
Detroit, MI	Milwaukee, WI	342	
Detroit, MI	Chicago, IL	289	
Detroit, MI	Indianapolis, IN	242	
Detroit, MI	Columbus, OH	207	30999
Denver, CO	Portland, OR	1143	
Denver, CO	Boston, MA	1110	
Denver, CO	New York, NY	1047	
Denver, CO	Jacksonville, FL	1031	
Denver, CO	Philadelphia, PA	1028	
Denver, CO	Washington, DC	1019	
Denver, CO	Baltimore, MD	1008	
Denver, CO	Charlotte, NC	959	
Denver, CO	Seattle, WA	914	
Denver, CO	San Jose, CA	847	
Denver, CO	San Francisco, CA	841	
Denver, CO	Detroit, MI	831	
Denver, CO	Columbus, OH	827	
Denver, CO	Nashville, TN	783	
Denver, CO	Fresno, CA	776	
Denver, CO	Louisville, KY	763	
Denver, CO	Memphis, TN	757	
Denver, CO	Indianapolis, IN	755	
Denver, CO	Milwaukee, WI	736	
Denver, CO	Chicago, IL	719	
Denver, CO	Houston, TX	701	
Denver, CO	Austin, TX	664	
Denver, CO	San Antonio, TX	663	
Denver, CO	Tucson, AZ	596	
Denver, CO	Dallas, TX	594	
Denver, CO	Fort Worth, TX	581	
Denver, CO	San Diego, CA	576	
Denver, CO	Las Vegas, NV	575	
Denver, CO	Phoenix, AZ	564	
Denver, CO	Los Angeles, CA	558	
Denver, CO	Oklahoma City, OK	514	
Denver, CO	El Paso, TX	511	
Denver, CO	Albuquerque, NM	274	25265
Dallas, TX	Seattle, WA	1372	
Dallas, TX	Portland, OR	1341	
Dallas, TX	Las Vegas, NV	933	
Dallas, TX	Boston, MA	802	
Dallas, TX	San Francisco, CA	771	
Dallas, TX	San Jose, CA	758	
Dallas, TX	Phoenix, AZ	744	
Dallas, TX	Philadelphia, PA	738	
Dallas, TX	Washington, DC	738	
Dallas, TX	Jacksonville, FL	737	
Dallas, TX	Baltimore, MD	737	
Dallas, TX	Fresno, CA	717	
Dallas, TX	Los Angeles, CA	698	
Dallas, TX	Tucson, AZ	697	
Dallas, TX	San Diego, CA	667	
Dallas, TX	Charlotte, NC	616	
Dallas, TX	Denver, CO	594	
Dallas, TX	New York, NY	583	
Dallas, TX	Columbus, OH	567	
Dallas, TX	Chicago, IL	551	
Dallas, TX	Detroit, MI	528	
Dallas, TX	Louisville, KY	498	
Dallas, TX	Milwaukee, WI	457	
Dallas, TX	Indianapolis, IN	443	
Dallas, TX	Albuquerque, NM	437	
Dallas, TX	El Paso, TX	432	
Dallas, TX	Nashville, TN	424	
Dallas, TX	Memphis, TN	328	
Dallas, TX	San Antonio, TX	248	
Dallas, TX	Houston, TX	211	
Dallas, TX	Austin, TX	181	
Dallas, TX	Oklahoma City, OK	152	
Dallas, TX	Fort Worth, TX	109	19809
Columbus, OH	Portland, OR	1774	
Columbus, OH	Seattle, WA	1747	
Columbus, OH	San Francisco, CA	1401	
Columbus, OH	San Jose, CA	1399	
Columbus, OH	El Paso, TX	1391	
Columbus, OH	Las Vegas, NV	1381	
Columbus, OH	Tucson, AZ	1362	
Columbus, OH	Fresno, CA	1351	
Columbus, OH	Phoenix, AZ	1345	
Columbus, OH	San Diego, CA	1312	
Columbus, OH	Los Angeles, CA	1303	
Columbus, OH	Albuquerque, NM	1264	
Columbus, OH	Denver, CO	1144	
Columbus, OH	San Antonio, TX	1082	
Columbus, OH	Austin, TX	1040	
Columbus, OH	Houston, TX	1034	
Columbus, OH	Jacksonville, FL	960	
Columbus, OH	Fort Worth, TX	958	
Columbus, OH	Dallas, TX	935	
Columbus, OH	Oklahoma City, OK	842	
Columbus, OH	Boston, MA	659	
Columbus, OH	Charlotte, NC	629	
Columbus, OH	Memphis, TN	547	
Columbus, OH	Nashville, TN	465	
Columbus, OH	Milwaukee, WI	451	
Columbus, OH	New York, NY	406	
Columbus, OH	Philadelphia, PA	387	
Columbus, OH	Baltimore, MD	359	
Columbus, OH	Washington, DC	355	
Columbus, OH	Chicago, IL	310	
Columbus, OH	Louisville, KY	241	
Columbus, OH	Detroit, MI	234	
Columbus, OH	Indianapolis, IN	213	30281
Chicago, IL	Phoenix, AZ	2250	
Chicago, IL	Tucson, AZ	2239	
Chicago, IL	Portland, OR	2235	
Chicago, IL	Las Vegas, NV	2173	
Chicago, IL	Seattle, WA	2165	
Chicago, IL	San Francisco, CA	2047	
Chicago, IL	San Jose, CA	2039	
Chicago, IL	Fresno, CA	2024	
Chicago, IL	San Diego, CA	1989	
Chicago, IL	Los Angeles, CA	1946	
Chicago, IL	San Antonio, TX	1619	
Chicago, IL	El Paso, TX	1594	
Chicago, IL	Austin, TX	1553	
Chicago, IL	Albuquerque, NM	1501	
Chicago, IL	Houston, TX	1479	
Chicago, IL	Dallas, TX	1405	
Chicago, IL	Fort Worth, TX	1397	
Chicago, IL	Denver, CO	1244	
Chicago, IL	Charlotte, NC	1183	
Chicago, IL	Memphis, TN	1060	
Chicago, IL	Nashville, TN	973	
Chicago, IL	Jacksonville, FL	861	
Chicago, IL	Boston, MA	821	
Chicago, IL	Columbus, OH	745	
Chicago, IL	Philadelphia, PA	697	
Chicago, IL	Louisville, KY	692	
Chicago, IL	Baltimore, MD	684	
Chicago, IL	Washington, DC	679	
Chicago, IL	Oklahoma City, OK	675	
Chicago, IL	New York, NY	444	
Chicago, IL	Detroit, MI	415	
Chicago, IL	Indianapolis, IN	232	
Chicago, IL	Milwaukee, WI	111	43171
Charlotte, NC	Seattle, WA	1572	
Charlotte, NC	Portland, OR	1559	
Charlotte, NC	San Francisco, CA	1490	
Charlotte, NC	Los Angeles, CA	1422	
Charlotte, NC	San Jose, CA	1422	
Charlotte, NC	San Diego, CA	1405	
Charlotte, NC	Fresno, CA	1372	
Charlotte, NC	Las Vegas, NV	968	
Charlotte, NC	Phoenix, AZ	936	
Charlotte, NC	El Paso, TX	918	
Charlotte, NC	Albuquerque, NM	912	
Charlotte, NC	Tucson, AZ	899	
Charlotte, NC	Denver, CO	886	
Charlotte, NC	San Antonio, TX	659	
Charlotte, NC	Austin, TX	651	
Charlotte, NC	Oklahoma City, OK	613	
Charlotte, NC	Fort Worth, TX	600	
Charlotte, NC	Columbus, OH	598	
Charlotte, NC	Houston, TX	593	
Charlotte, NC	Dallas, TX	588	
Charlotte, NC	Milwaukee, WI	572	
Charlotte, NC	Boston, MA	505	
Charlotte, NC	Chicago, IL	464	
Charlotte, NC	Memphis, TN	410	
Charlotte, NC	New York, NY	366	
Charlotte, NC	Detroit, MI	366	
Charlotte, NC	Indianapolis, IN	365	
Charlotte, NC	Nashville, TN	359	
Charlotte, NC	Louisville, KY	346	
Charlotte, NC	Philadelphia, PA	333	
Charlotte, NC	Jacksonville, FL	292	
Charlotte, NC	Baltimore, MD	289	
Charlotte, NC	Washington, DC	271	25001
Boston, MA	San Francisco, CA	3289	
Boston, MA	San Jose, CA	3284	
Boston, MA	Fresno, CA	3251	
Boston, MA	Portland, OR	2894	
Boston, MA	Seattle, WA	2795	
Boston, MA	Tucson, AZ	2615	
Boston, MA	Las Vegas, NV	2599	
Boston, MA	Phoenix, AZ	2588	
Boston, MA	El Paso, TX	2443	
Boston, MA	Denver, CO	2348	
Boston, MA	Albuquerque, NM	2318	
Boston, MA	San Antonio, TX	2272	
Boston, MA	Fort Worth, TX	2229	
Boston, MA	Austin, TX	2215	
Boston, MA	Dallas, TX	2204	
Boston, MA	Houston, TX	2132	
Boston, MA	San Diego, CA	1739	
Boston, MA	Los Angeles, CA	1704	
Boston, MA	Oklahoma City, OK	1584	
Boston, MA	Charlotte, NC	1515	
Boston, MA	Jacksonville, FL	1327	
Boston, MA	Memphis, TN	1310	
Boston, MA	Nashville, TN	1172	
Boston, MA	Louisville, KY	1102	
Boston, MA	Indianapolis, IN	1020	
Boston, MA	Milwaukee, WI	869	
Boston, MA	Detroit, MI	849	
Boston, MA	Chicago, IL	821	
Boston, MA	Columbus, OH	565	
Boston, MA	Washington, DC	332	
Boston, MA	Baltimore, MD	301	
Boston, MA	Philadelphia, PA	222	
Boston, MA	New York, NY	184	58092
Baltimore, MD	Portland, OR	2989	
Baltimore, MD	Seattle, WA	2918	
Baltimore, MD	Las Vegas, NV	2698	
Baltimore, MD	Phoenix, AZ	2637	
Baltimore, MD	Tucson, AZ	2621	
Baltimore, MD	San Francisco, CA	2214	
Baltimore, MD	San Jose, CA	2210	
Baltimore, MD	Fresno, CA	2177	
Baltimore, MD	El Paso, TX	2162	
Baltimore, MD	San Diego, CA	2120	
Baltimore, MD	Los Angeles, CA	2105	
Baltimore, MD	Albuquerque, NM	2070	
Baltimore, MD	Denver, CO	1937	
Baltimore, MD	Jacksonville, FL	1293	
Baltimore, MD	San Antonio, TX	1097	
Baltimore, MD	Austin, TX	1060	
Baltimore, MD	Memphis, TN	1047	
Baltimore, MD	Houston, TX	1007	
Baltimore, MD	Fort Worth, TX	983	
Baltimore, MD	Dallas, TX	968	
Baltimore, MD	Oklahoma City, OK	959	
Baltimore, MD	Nashville, TN	881	
Baltimore, MD	Louisville, KY	628	
Baltimore, MD	Indianapolis, IN	618	
Baltimore, MD	Charlotte, NC	614	
Baltimore, MD	Detroit, MI	575	
Baltimore, MD	Milwaukee, WI	551	
Baltimore, MD	Columbus, OH	441	
Baltimore, MD	Boston, MA	350	
Baltimore, MD	Chicago, IL	328	
Baltimore, MD	New York, NY	168	
Baltimore, MD	Philadelphia, PA	130	
Baltimore, MD	Washington, DC	79	44635
Austin, TX	Portland, OR	1303	
Austin, TX	Seattle, WA	1210	
Austin, TX	Charlotte, NC	868	
Austin, TX	San Francisco, CA	858	
Austin, TX	Detroit, MI	856	
Austin, TX	Las Vegas, NV	851	
Austin, TX	San Jose, CA	847	
Austin, TX	Boston, MA	817	
Austin, TX	Washington, DC	809	
Austin, TX	Fresno, CA	808	
Austin, TX	Baltimore, MD	806	
Austin, TX	Columbus, OH	788	
Austin, TX	Denver, CO	743	
Austin, TX	Indianapolis, IN	730	
Austin, TX	Louisville, KY	703	
Austin, TX	Los Angeles, CA	696	
Austin, TX	Philadelphia, PA	689	
Austin, TX	Phoenix, AZ	677	
Austin, TX	San Diego, CA	671	
Austin, TX	Nashville, TN	633	
Austin, TX	Tucson, AZ	633	
Austin, TX	Albuquerque, NM	627	
Austin, TX	New York, NY	593	
Austin, TX	Milwaukee, WI	541	
Austin, TX	El Paso, TX	540	
Austin, TX	Jacksonville, FL	539	
Austin, TX	Memphis, TN	520	
Austin, TX	Chicago, IL	518	
Austin, TX	Oklahoma City, OK	235	
Austin, TX	Dallas, TX	172	
Austin, TX	Fort Worth, TX	168	
Austin, TX	Houston, TX	131	
Austin, TX	San Antonio, TX	104	21684
Albuquerque, NM	Boston, MA	1252	
Albuquerque, NM	Seattle, WA	1247	
Albuquerque, NM	Portland, OR	1217	
Albuquerque, NM	Charlotte, NC	1216	
Albuquerque, NM	New York, NY	1164	
Albuquerque, NM	Philadelphia, PA	1139	
Albuquerque, NM	Washington, DC	1120	
Albuquerque, NM	Baltimore, MD	1118	
Albuquerque, NM	Detroit, MI	1079	
Albuquerque, NM	Jacksonville, FL	1064	
Albuquerque, NM	Houston, TX	974	
Albuquerque, NM	Milwaukee, WI	965	
Albuquerque, NM	Indianapolis, IN	935	
Albuquerque, NM	Chicago, IL	934	
Albuquerque, NM	Austin, TX	896	
Albuquerque, NM	San Antonio, TX	879	
Albuquerque, NM	Dallas, TX	813	
Albuquerque, NM	Fort Worth, TX	793	
Albuquerque, NM	San Francisco, CA	782	
Albuquerque, NM	San Jose, CA	765	
Albuquerque, NM	Columbus, OH	702	
Albuquerque, NM	Denver, CO	685	
Albuquerque, NM	San Diego, CA	657	
Albuquerque, NM	Louisville, KY	649	
Albuquerque, NM	Los Angeles, CA	643	
Albuquerque, NM	Nashville, TN	624	
Albuquerque, NM	Tucson, AZ	621	
Albuquerque, NM	Phoenix, AZ	591	
Albuquerque, NM	Las Vegas, NV	578	
Albuquerque, NM	Fresno, CA	575	
Albuquerque, NM	Memphis, TN	555	
Albuquerque, NM	Oklahoma City, OK	465	
Albuquerque, NM	El Paso, TX	260	27957

